PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,SEASON,target_fg3_pct,fg3_pct_lag1,fg3_pct_lag2,fg3_pct_trend,fg3_pct_career_avg,fg3a_lag1,fg3a_per_game,high_volume,GP,MIN,AST,TOV,FG_PCT,FT_PCT,gp_lag1,seasons_in_league
201571,D.J. Augustin,ORL,2016-17,0.347,0.405,0.337,0.068,0.371,2.7,3.5,0,78,19.7,2.7,1.2,0.377,0.814,62.0,2
201571,D.J. Augustin,ORL,2017-18,0.419,0.347,0.405,-0.05800000000000005,0.363,3.5,3.6,0,75,23.5,3.8,1.6,0.452,0.868,78.0,3
201571,D.J. Augustin,ORL,2018-19,0.421,0.419,0.347,0.07200000000000001,0.377,3.6,3.8,0,81,28.0,5.3,1.6,0.47,0.866,75.0,4
201571,D.J. Augustin,ORL,2019-20,0.348,0.421,0.419,0.0020000000000000018,0.38580000000000003,3.8,3.5,0,57,24.9,4.6,1.5,0.399,0.89,81.0,5
201571,D.J. Augustin,HOU,2020-21,0.382,0.348,0.421,-0.07300000000000001,0.3795,3.5,3.8,0,57,19.8,3.3,1.1,0.394,0.904,57.0,6
201571,D.J. Augustin,LAL,2021-22,0.415,0.382,0.348,0.03400000000000003,0.37985714285714284,3.8,3.0,0,55,16.1,1.9,1.0,0.423,0.884,57.0,7
201572,Brook Lopez,LAL,2017-18,0.345,0.346,,,0.346,5.2,4.4,0,74,23.4,1.7,1.3,0.465,0.703,75.0,1
201572,Brook Lopez,MIL,2018-19,0.365,0.345,0.346,-0.0010000000000000009,0.3455,4.4,6.3,1,81,28.7,1.2,1.0,0.452,0.842,74.0,2
201572,Brook Lopez,MIL,2019-20,0.314,0.365,0.345,0.020000000000000018,0.35200000000000004,6.3,4.8,0,68,26.7,1.5,1.0,0.435,0.836,81.0,3
201572,Brook Lopez,MIL,2020-21,0.338,0.314,0.365,-0.05099999999999999,0.34249999999999997,4.8,4.0,0,70,27.2,0.7,0.9,0.503,0.845,68.0,4
201572,Brook Lopez,MIL,2021-22,0.358,0.338,0.314,0.02400000000000002,0.3416,4.0,4.1,0,13,23.0,0.5,0.9,0.466,0.87,70.0,5
201572,Brook Lopez,MIL,2022-23,0.374,0.358,0.338,0.019999999999999962,0.3443333333333333,4.1,4.7,0,78,30.4,1.3,1.4,0.531,0.784,13.0,6
201572,Brook Lopez,MIL,2023-24,0.366,0.374,0.358,0.016000000000000014,0.3485714285714286,4.7,5.1,1,79,30.5,1.6,1.0,0.485,0.821,78.0,7
201573,Jerryd Bayless,MIL,2015-16,0.437,0.308,,,0.308,1.6,4.4,0,52,28.9,3.1,1.4,0.423,0.778,77.0,1
201573,Jerryd Bayless,PHI,2017-18,0.37,0.437,0.308,0.129,0.3725,4.4,3.7,0,39,23.7,1.4,1.2,0.416,0.795,52.0,2
201573,Jerryd Bayless,MIN,2018-19,0.296,0.37,0.437,-0.067,0.37166666666666665,3.7,2.9,0,34,19.3,3.5,0.9,0.357,0.571,39.0,3
201575,Brandon Rush,MIN,2016-17,0.386,0.414,,,0.414,2.2,2.4,0,47,21.9,1.0,0.6,0.374,0.722,72.0,1
