Model,MAE,RMSE,R2,Train_Size,Test_Size
XGBoost,0.027906132298659108,0.03737127176341219,0.2682421011641464,1818,488
Ridge Baseline,0.03018207453424573,0.038994306687035435,0.20330136986008296,1818,488
