PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG3M,FG3A,FG3_PCT,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,AST,TOV,SEASON
201143,Al Horford,BOS,68,32.3,1.3,3.6,0.355,5.6,11.8,0.473,1.6,2.0,0.8,5.0,1.7,2016-17
201143,Al Horford,BOS,72,31.6,1.3,3.1,0.429,5.1,10.5,0.489,1.3,1.7,0.783,4.7,1.8,2017-18
201143,Al Horford,BOS,68,29.0,1.1,3.0,0.36,5.7,10.6,0.535,1.1,1.4,0.821,4.2,1.5,2018-19
201143,Al Horford,PHI,67,30.2,1.5,4.2,0.35,4.8,10.6,0.45,0.9,1.2,0.763,4.0,1.2,2019-20
201143,Al Horford,BOS,28,27.9,2.0,5.4,0.368,5.8,12.9,0.45,0.6,0.8,0.818,3.4,1.0,2020-21
201143,Al Horford,BOS,69,29.1,1.3,3.8,0.336,3.9,8.2,0.467,1.2,1.4,0.842,3.4,0.9,2021-22
201143,Al Horford,BOS,63,30.5,2.3,5.2,0.446,3.6,7.6,0.476,0.2,0.3,0.714,3.0,0.6,2022-23
201143,Al Horford,BOS,65,26.8,1.7,4.0,0.419,3.3,6.4,0.511,0.4,0.5,0.867,2.6,0.7,2023-24
202329,Al-Farouq Aminu,DAL,74,18.5,0.5,1.7,0.274,2.0,4.8,0.412,1.1,1.6,0.712,0.8,0.7,2014-15
202329,Al-Farouq Aminu,POR,82,28.5,1.5,4.3,0.361,3.6,8.8,0.416,1.4,1.9,0.737,1.7,1.5,2015-16
202329,Al-Farouq Aminu,POR,61,29.1,1.1,3.5,0.33,3.0,7.6,0.393,1.6,2.2,0.706,1.6,1.5,2016-17
202329,Al-Farouq Aminu,POR,69,30.0,1.8,4.9,0.369,3.3,8.4,0.395,0.9,1.2,0.738,1.2,1.1,2017-18
202329,Al-Farouq Aminu,POR,81,28.3,1.2,3.5,0.343,3.2,7.3,0.433,1.9,2.1,0.867,1.3,0.9,2018-19
101187,Alan Anderson,BKN,74,23.6,1.0,2.8,0.348,2.6,5.9,0.443,1.1,1.4,0.812,1.1,0.8,2014-15
202692,Alec Burks,UTA,27,33.3,1.0,2.5,0.382,4.5,11.1,0.403,3.9,4.8,0.822,3.0,1.9,2014-15
202692,Alec Burks,UTA,31,25.7,1.0,2.5,0.405,4.4,10.8,0.41,3.4,4.5,0.752,2.0,1.6,2015-16
202692,Alec Burks,UTA,42,15.5,0.6,1.8,0.329,2.4,5.9,0.399,1.4,1.9,0.769,0.7,0.8,2016-17
202692,Alec Burks,UTA,64,16.5,0.7,2.2,0.331,2.7,6.5,0.411,1.7,1.9,0.863,1.0,0.9,2017-18
202692,Alec Burks,SAC,64,21.5,1.0,2.6,0.363,3.0,7.4,0.405,1.8,2.2,0.823,2.0,1.0,2018-19
202692,Alec Burks,PHI,66,26.6,1.8,4.6,0.385,4.9,11.6,0.418,3.6,4.0,0.887,2.9,1.4,2019-20
202692,Alec Burks,NYK,49,25.6,2.1,5.0,0.415,4.3,10.2,0.42,2.1,2.4,0.856,2.2,1.0,2020-21
